gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.8010783
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3x375f76k02ph1t
parameter_id,MGP_IMM_036_001
