gene_symbol,Ift74
mouse_strain,C57BL
analysis_id,m5y77hxlq4znfx0
gene_accession_id,MGI:1914944
pvalue,0.2518313
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
parameter_name,Hemoglobin
