analysis_id,bojmoqat86rjxt0
gene_accession_id,MGI:104848
parameter_name,Eosinophil number
gene_symbol,Inpp1
pvalue,0.9844679
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
mouse_strain,129SV
