parameter_name,Total protein
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
pvalue,0.4939962
gene_accession_id,MGI:1933159
analysis_id,259e626y83u305g
gene_symbol,Rnf114
mouse_strain,C57BL
