gene_symbol,Ahcy
analysis_id,t0z7s9z8wle4p5p
parameter_id,MGP_IMM_067_001
parameter_name,CD11b-low cDC - % of cDC
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
pvalue,0.3393038
