analysis_id,011k1w8ix7011i7
parameter_id,IMPC_EYE_092_001
mouse_strain,C54BL
gene_symbol,Serinc3
mouse_life_stage,Early adult
gene_accession_id,MGI:1349457
parameter_name,Retina (combined)
pvalue,0.1557568
