parameter_name,Weight
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
analysis_id,3iku72t1tg45wi1
pvalue,0.7904321
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
gene_symbol,Duoxa2
