parameter_name,HDL-cholesterol
pvalue,0.06635245
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
gene_symbol,Cmpk1
mouse_life_stage,Early adult
analysis_id,z6m01fyitwj114y
gene_accession_id,MGI:1913838
