parameter_name,Hindlimb nail - number
pvalue,0.8357945
gene_accession_id,MGI:1345282
mouse_life_stage,Early adult
gene_symbol,Slc30a4
parameter_id,IMPC_CSD_051_002
analysis_id,z02fr2v5w5gbowq
mouse_strain,C57BL
