analysis_id,2pirok1v25990fq
parameter_name,CD8+ alpha beta T cell percentage
pvalue,0.3945816
gene_accession_id,MGI:95835
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_symbol,Hspa5
mouse_life_stage,E12.5
