analysis_id,kxc89o3s1qjae79
pvalue,0.7271975
gene_symbol,Snrpb2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:104805
parameter_name,Number of rears - total
