gene_symbol,Trp53rkb
mouse_strain,C57BL
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
pvalue,0.1129116
analysis_id,mb92l9i97491581
parameter_name,Fusion of vertebrae
