analysis_id,q77b7s0txqwk883
parameter_id,IMPC_DXA_007_001
pvalue,0.4034696
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,BMC/Body weight
gene_symbol,Mecom
