parameter_name,Corneal vascularization
pvalue,0.7890654
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
analysis_id,2289rfz588k410g
mouse_strain,C57BL
gene_symbol,TRAF6
