gene_symbol,Kcng1
analysis_id,wq41of7f187f112
parameter_name,Coat colouration
gene_accession_id,MGI:3616086
mouse_strain,C57BL
pvalue,0.7239054
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
