parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
pvalue,0.1688477
parameter_id,ICS_FEA_019_001
analysis_id,h18054xtb899c29
gene_symbol,Kifap3
mouse_strain,C57BL
