Gene_symbol,Morn5
Mouse_strain,C57BL
parameter_name,PP1 startle magnitude
Analysis_id,l5l4t0a6enw8154
Gene_accession_id,MGI:1922745
Mouse_life_stage,Early adult
Parameter_id,ESLIM_011_001_002
Pvalue,0.1129006
