parameter_name,NK cell number
mouse_strain,C57BL
pvalue,0.7175359
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
gene_symbol,Tatdn3
analysis_id,d5og53yw6b06665
parameter_id,MGP_PBI_027_001
