analysis_id,920qx156u355684
parameter_name,Transitional 1 B cells - % of CD45+
parameter_id,MGP_IMM_110_001
mouse_life_stage,Early adult
gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.9493919
gene_accession_id,MGI:88461
