analysis_id,ld75169357222s5
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,DN CD25- NKT cells
pvalue,0.2822983
parameter_id,IMPC_IMM_025_001
mouse_life_stage,E18.5
