analysis_id,6e8fbyxocmlpdn7
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
parameter_name,Snout size
pvalue,0.5318633
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
gene_symbol,Fgb
