parameter_name,Neural tube morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922855
analysis_id,534mk80yw8ih4b4
parameter_id,IMPC_GEL_060_001
gene_symbol,Kdm5b
pvalue,0.1371895
