parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
analysis_id,o9vl3o319p50455
mouse_life_stage,Early adult
gene_symbol,Arnt
pvalue,0.617407
gene_accession_id,MGI:88071
parameter_name,Retina (combined)
