parameter_name,Calcium
mouse_strain,C57BL
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
parameter_id,IMPC_CBC_009_001
pvalue,0.3454762
analysis_id,806nof7l68r0233
mouse_life_stage,Early adult
