Analysis_id,6392ul130989502
Gene_accession_id,MGI:88380
Pvalue,0.9523832
Gene_symbol,F2
Parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
Parameter_id,MGP_IMM_026_001
