parameter_id,HMGULA_GRS_008_001
analysis_id,6909rc550l4038b
mouse_life_stage,Early adult
parameter_name,Forelimb grip strength measurement mean
pvalue,0.7122505
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
mouse_strain,C57BL
