parameter_name,HR
mouse_strain,C57BL
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
analysis_id,2g32x5cr592j287
pvalue,0.5278404
gene_symbol,Rab13
parameter_id,JAXLA_ECG_002_001
