parameter_name,30kHz-evoked ABR Threshold
pvalue,0.9059025
mouse_strain,C57BL
parameter_id,IMPC_ABR_012_001
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
analysis_id,lsi24g320qzz52t
gene_symbol,Hpca
