parameter_name,Anophthalmia
gene_symbol,Amigo1
mouse_life_stage,Early adult
pvalue,0.9575962
gene_accession_id,MGI:2653612
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
analysis_id,4545og984bgo1sh
