analysis_id,0vww2c2e78k0m5x
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.5730516
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
mouse_strain,C57BL
