gene_symbol,F2
analysis_id,211d5r40l379gc8
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
parameter_name,Radius
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.8350225
