parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
analysis_id,zz624r319y0j8e7
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
pvalue,0.5433441
mouse_strain,C57BL
gene_accession_id,MGI:1916043
