analysis_id,3n7w4w1tj8yqlsz
mouse_life_stage,Early adult
gene_symbol,Cpa3
pvalue,0.5858565
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_name,LDL-cholesterol
