analysis_id,d6i5s029najb88r
pvalue,0.5234948
parameter_id,HRWLLA_FEA_015_001
gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
gene_accession_id,MGI:1341628
