analysis_id,445t9yavbt1y211
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
pvalue,0.5447197
gene_accession_id,MGI:2441730
parameter_name,Snout size
