parameter_name,center - resting time
analysis_id,1gw7r20v8633o20
parameter_id,M-G-P_007_001_011
pvalue,0.5915819
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
mouse_life_stage,Early adult
mouse_strain,C57BL
