analysis_id,rcj12qrwxqb5sq1
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
parameter_id,MGP_MLN_063_001
pvalue,0.5716976
gene_symbol,Tnfsf10
