parameter_name,Neural tube closure
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
gene_symbol,Lamb3
gene_accession_id,MGI:99915
analysis_id,0xxq6v4c5036i1j
pvalue,0.691623
mouse_strain,C57BL
