analysis_id,r27xw7bp997h24u
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Activity (body position)
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.1750333
parameter_id,IMPC_CSD_029_001
