parameter_name,Hemoglobin
mouse_life_stage,Early adult
gene_symbol,Trdmt1
pvalue,0.630482
mouse_strain,C57BL
parameter_id,IMPC_HEM_003_001
analysis_id,4h4j08vy9d23013
gene_accession_id,MGI:1274787
