analysis_id,kne740fief3706m
mouse_strain,C57BL
pvalue,0.4336536
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
parameter_id,ESLIM_007_001_009
gene_symbol,Atf3
parameter_name,Periphery average speed
