parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.05300839
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,v09q8j907663364
