parameter_id,JAXLA_ECG_002_001
gene_accession_id,MGI:2446186
parameter_name,HR
pvalue,0.8489073
analysis_id,wo0a5a678b9i897
gene_symbol,Lpgat1
mouse_strain,C57BL
mouse_life_stage,Early adult
