gene_symbol,Opn3
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
pvalue,0.7132234
mouse_strain,C57BL
parameter_name,Neural tube closure
analysis_id,ns28g3wf4n93scf
gene_accession_id,MGI:1338022
