analysis_id,3sqv6939u9e298c
gene_accession_id,MGI:1929866
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rgs20
pvalue,0.2330069
parameter_id,IMPC_ACS_006_001
