parameter_name,Tibia
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc17a9
parameter_id,IMPC_XRY_025_001
analysis_id,5x3nu05nk97p2tp
pvalue,0.4519001
gene_accession_id,MGI:1919107
