analysis_id,7qy5iqs30773826
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
mouse_strain,C57BL
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
pvalue,0.54013
