analysis_id,vl0puh6guve3od9
parameter_id,IMPC_IMM_025_001
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E15.5
pvalue,0.4184673
parameter_name,DN CD25- NKT cells
