gene_symbol,Ahctf1
analysis_id,h292z5azj29w608
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.9260625
parameter_name,Light side time spent
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
