gene_symbol,Mov10
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,jxh0182f3a66s73
gene_accession_id,MGI:97054
parameter_name,Hindlimbs - shape
pvalue,0.3331464
