gene_symbol,Rufy4
analysis_id,q44hlho6i926f5q
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:3588214
parameter_name,QT
pvalue,0.06944624
