parameter_name,Center distance travelled
analysis_id,bplp369j0j84po5
pvalue,0.6756552
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1924054
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kdm4c
