gene_symbol,Snap23
mouse_strain,C57BL
analysis_id,53pn2x185sm99t6
pvalue,0.9564469
gene_accession_id,MGI:109356
parameter_id,IMPC_CBC_053_001
mouse_life_stage,Late adult
parameter_name,Thyroxine
