mouse_strain,129SV
parameter_id,MGP_IMM_079_001
pvalue,0.4644575
analysis_id,v07lgu93ysus553
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
