analysis_id,019qjra2vvn8l8s
pvalue,0.2270616
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
gene_symbol,Ahcy
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:87968
