analysis_id,84zeujqoz328138
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,Eye
parameter_id,IMPC_EYE_001_001
mouse_strain,C57BL
pvalue,0.6179651
mouse_life_stage,Early adult
