analysis_id,10k2o018atiy8q7
parameter_name,Hindlimbs - shape
pvalue,0.2334542
parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
mouse_strain,C57BL
mouse_life_stage,Early adult
