analysis_id,z538e86d7p4tkt8
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
parameter_name,Lens Opacity
gene_accession_id,MGI:109384
gene_symbol,Atf3
pvalue,0.7025558
mouse_strain,C57BL
