gene_symbol,Galk2
parameter_id,IMPC_FEA_003_001
pvalue,0.08995917
gene_accession_id,MGI:1917226
analysis_id,j8zgi95cab4r2t0
parameter_name,Conditioning Baseline % Freezing Time
mouse_strain,C57BL
mouse_life_stage,Early adult
