analysis_id,057az696ebc96u3
gene_symbol,Bmp7
pvalue,0.2803735
parameter_id,MGP_IMM_112_001
mouse_life_stage,Early adult
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:103302
mouse_strain,C57BL
