analysis_id,x0w92a5d3d14g4v
pvalue,0.4917088
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Stk35
gene_accession_id,MGI:1914583
