parameter_id,IMPC_HEM_030_001
pvalue,0.2056528
gene_accession_id,MGI:1923959
analysis_id,gh219192s61d5v1
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_name,Neutrophil cell count
mouse_strain,129SV
