parameter_name,Hemorrhage
gene_accession_id,MGI:1914071
mouse_strain,C57BL
analysis_id,5qramu1i6dmwycq
gene_symbol,Bcs1l
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
pvalue,0.3224644
