parameter_id,JAX_SLW_013_001
pvalue,0.6120541
gene_symbol,Arpc5l
analysis_id,6cm35j776yn78k4
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
